"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1922",-0.5,"Native 1",24,"spillover1","fp","spillover1 fp",4,0,364,364,-0.5,0.5
"1924",-0.5,"Native 1",12,"spillover1","fp","spillover1 fp",4,0,272,272,-0.5,0.5
"1926",-0.5,"Native 1",6,"spillover1","fp","spillover1 fp",2,0,161,161,0.5,0.5
"1928",-0.5,"Native 1",7,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5
"1930",-0.5,"Native 1",14,"spillover1","fp","spillover1 fp",2,0,175,175,0.5,0.5
"1932",-0.5,"Native 1",21,"spillover1","fp","spillover1 fp",1,0,195,195,0.5,-0.5
"1934",-0.5,"Native 1",19,"spillover1","fp","spillover1 fp",3,0,206,206,-0.5,-0.5
"1936",-0.5,"Native 1",17,"spillover1","fp","spillover1 fp",1,0,265,265,0.5,-0.5
"1938",-0.5,"Native 1",10,"spillover1","fp","spillover1 fp",2,0,185,185,0.5,0.5
"1940",-0.5,"Native 1",23,"spillover1","fp","spillover1 fp",3,0,290,290,-0.5,-0.5
"1942",-0.5,"Native 1",15,"spillover1","fp","spillover1 fp",3,0,195,195,-0.5,-0.5
"1944",-0.5,"Native 1",1,"spillover1","fp","spillover1 fp",1,0,179,179,0.5,-0.5
"1946",-0.5,"Native 1",2,"spillover1","fp","spillover1 fp",2,0,209,209,0.5,0.5
"1948",-0.5,"Native 1",5,"spillover1","fp","spillover1 fp",1,0,408,408,0.5,-0.5
"1950",-0.5,"Native 1",16,"spillover1","fp","spillover1 fp",4,0,233,233,-0.5,0.5
"1952",-0.5,"Native 1",3,"spillover1","fp","spillover1 fp",3,0,545,545,-0.5,-0.5
"1954",-0.5,"Native 1",13,"spillover1","fp","spillover1 fp",1,0,197,197,0.5,-0.5
"1956",-0.5,"Native 1",11,"spillover1","fp","spillover1 fp",3,0,220,220,-0.5,-0.5
"1958",-0.5,"Native 1",9,"spillover1","fp","spillover1 fp",1,0,178,178,0.5,-0.5
"1960",-0.5,"Native 1",8,"spillover1","fp","spillover1 fp",4,0,442,442,-0.5,0.5
"1962",-0.5,"Native 1",4,"spillover1","fp","spillover1 fp",4,0,224,224,-0.5,0.5
"1964",-0.5,"Native 1",20,"spillover1","fp","spillover1 fp",4,0,341,341,-0.5,0.5
"1966",-0.5,"Native 1",18,"spillover1","fp","spillover1 fp",2,0,266,266,0.5,0.5
"1968",-0.5,"Native 1",22,"spillover1","fp","spillover1 fp",2,0,433,433,0.5,0.5
"1970",-0.5,"Native 2",14,"spillover1","fp","spillover1 fp",3,0,208,208,-0.5,-0.5
"1972",-0.5,"Native 2",4,"spillover1","fp","spillover1 fp",1,0,532,532,0.5,-0.5
"1974",-0.5,"Native 2",19,"spillover1","fp","spillover1 fp",4,0,195,195,-0.5,0.5
"1976",-0.5,"Native 2",1,"spillover1","fp","spillover1 fp",2,0,205,205,0.5,0.5
"1978",-0.5,"Native 2",5,"spillover1","fp","spillover1 fp",2,0,420,420,0.5,0.5
"1980",-0.5,"Native 2",15,"spillover1","fp","spillover1 fp",4,0,332,332,-0.5,0.5
"1982",-0.5,"Native 2",7,"spillover1","fp","spillover1 fp",4,1,0,NA,-0.5,0.5
"1984",-0.5,"Native 2",18,"spillover1","fp","spillover1 fp",3,0,288,288,-0.5,-0.5
"1986",-0.5,"Native 2",6,"spillover1","fp","spillover1 fp",3,0,184,184,-0.5,-0.5
"1988",-0.5,"Native 2",22,"spillover1","fp","spillover1 fp",3,0,166,166,-0.5,-0.5
"1990",-0.5,"Native 2",10,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5
"1992",-0.5,"Native 2",8,"spillover1","fp","spillover1 fp",1,0,248,248,0.5,-0.5
"1994",-0.5,"Native 2",24,"spillover1","fp","spillover1 fp",1,0,499,499,0.5,-0.5
