"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"28802",-0.5,"Native 1",24,"spillover2","tt","spillover2 tt",4,0,323,323,-0.5,0.5
"28804",-0.5,"Native 1",12,"spillover2","tt","spillover2 tt",4,0,2377,2377,-0.5,0.5
"28806",-0.5,"Native 1",6,"spillover2","tt","spillover2 tt",2,0,371,371,0.5,0.5
"28808",-0.5,"Native 1",7,"spillover2","tt","spillover2 tt",3,0,880,880,-0.5,-0.5
"28810",-0.5,"Native 1",14,"spillover2","tt","spillover2 tt",2,0,644,644,0.5,0.5
"28812",-0.5,"Native 1",21,"spillover2","tt","spillover2 tt",1,0,1024,1024,0.5,-0.5
"28814",-0.5,"Native 1",19,"spillover2","tt","spillover2 tt",3,0,511,511,-0.5,-0.5
"28816",-0.5,"Native 1",17,"spillover2","tt","spillover2 tt",1,0,648,648,0.5,-0.5
"28818",-0.5,"Native 1",10,"spillover2","tt","spillover2 tt",2,0,1453,1453,0.5,0.5
"28820",-0.5,"Native 1",23,"spillover2","tt","spillover2 tt",3,0,609,609,-0.5,-0.5
"28822",-0.5,"Native 1",15,"spillover2","tt","spillover2 tt",3,0,578,578,-0.5,-0.5
"28824",-0.5,"Native 1",1,"spillover2","tt","spillover2 tt",1,0,593,593,0.5,-0.5
"28826",-0.5,"Native 1",2,"spillover2","tt","spillover2 tt",2,0,543,543,0.5,0.5
"28828",-0.5,"Native 1",5,"spillover2","tt","spillover2 tt",1,0,515,515,0.5,-0.5
"28830",-0.5,"Native 1",16,"spillover2","tt","spillover2 tt",4,0,998,998,-0.5,0.5
"28832",-0.5,"Native 1",3,"spillover2","tt","spillover2 tt",3,0,760,760,-0.5,-0.5
"28834",-0.5,"Native 1",13,"spillover2","tt","spillover2 tt",1,0,1537,1537,0.5,-0.5
"28836",-0.5,"Native 1",11,"spillover2","tt","spillover2 tt",3,0,695,695,-0.5,-0.5
"28838",-0.5,"Native 1",9,"spillover2","tt","spillover2 tt",1,0,1228,1228,0.5,-0.5
"28840",-0.5,"Native 1",8,"spillover2","tt","spillover2 tt",4,0,1682,1682,-0.5,0.5
"28842",-0.5,"Native 1",4,"spillover2","tt","spillover2 tt",4,0,973,973,-0.5,0.5
"28844",-0.5,"Native 1",20,"spillover2","tt","spillover2 tt",4,0,1754,1754,-0.5,0.5
"28846",-0.5,"Native 1",18,"spillover2","tt","spillover2 tt",2,0,467,467,0.5,0.5
"28848",-0.5,"Native 1",22,"spillover2","tt","spillover2 tt",2,0,1056,1056,0.5,0.5
"28850",-0.5,"Native 2",14,"spillover2","tt","spillover2 tt",3,0,301,301,-0.5,-0.5
"28852",-0.5,"Native 2",4,"spillover2","tt","spillover2 tt",1,0,431,431,0.5,-0.5
"28854",-0.5,"Native 2",19,"spillover2","tt","spillover2 tt",4,0,566,566,-0.5,0.5
"28856",-0.5,"Native 2",1,"spillover2","tt","spillover2 tt",2,0,421,421,0.5,0.5
"28858",-0.5,"Native 2",5,"spillover2","tt","spillover2 tt",2,0,952,952,0.5,0.5
"28860",-0.5,"Native 2",15,"spillover2","tt","spillover2 tt",4,0,122,122,-0.5,0.5
"28862",-0.5,"Native 2",7,"spillover2","tt","spillover2 tt",4,0,251,251,-0.5,0.5
"28864",-0.5,"Native 2",18,"spillover2","tt","spillover2 tt",3,0,273,273,-0.5,-0.5
"28866",-0.5,"Native 2",6,"spillover2","tt","spillover2 tt",3,0,439,439,-0.5,-0.5
"28868",-0.5,"Native 2",22,"spillover2","tt","spillover2 tt",3,0,622,622,-0.5,-0.5
"28870",-0.5,"Native 2",10,"spillover2","tt","spillover2 tt",3,0,311,311,-0.5,-0.5
"28872",-0.5,"Native 2",8,"spillover2","tt","spillover2 tt",1,0,201,201,0.5,-0.5
"28874",-0.5,"Native 2",24,"spillover2","tt","spillover2 tt",1,0,125,125,0.5,-0.5
"28876",-0.5,"Native 2",17,"spillover2","tt","spillover2 tt",2,0,447,447,0.5,0.5
"28878",-0.5,"Native 2",2,"spillover2","tt","spillover2 tt",3,0,301,301,-0.5,-0.5
"28880",-0.5,"Native 2",11,"spillover2","tt","spillover2 tt",4,0,282,282,-0.5,0.5
"28882",-0.5,"Native 2",3,"spillover2","tt","spillover2 tt",4,0,328,328,-0.5,0.5
"28884",-0.5,"Native 2",21,"spillover2","tt","spillover2 tt",2,0,124,124,0.5,0.5
"28886",-0.5,"Native 2",20,"spillover2","tt","spillover2 tt",1,0,197,197,0.5,-0.5
"28888",-0.5,"Native 2",16,"spillover2","tt","spillover2 tt",1,1,0,NA,0.5,-0.5
"28890",-0.5,"Native 2",13,"spillover2","tt","spillover2 tt",2,0,198,198,0.5,0.5
"28892",-0.5,"Native 2",9,"spillover2","tt","spillover2 tt",2,0,807,807,0.5,0.5
"28894",-0.5,"Native 2",12,"spillover2","tt","spillover2 tt",1,0,304,304,0.5,-0.5
"28896",-0.5,"Native 2",23,"spillover2","tt","spillover2 tt",4,0,531,531,-0.5,0.5
"28897",-0.5,"Native 3",11,"spillover2","tt","spillover2 tt",1,0,446,446,0.5,-0.5
"28899",-0.5,"Native 3",21,"spillover2","tt","spillover2 tt",3,0,802,802,-0.5,-0.5
"28901",-0.5,"Native 3",2,"spillover2","tt","spillover2 tt",4,0,3246,3246,-0.5,0.5
"28903",-0.5,"Native 3",20,"spillover2","tt","spillover2 tt",2,0,1112,1112,0.5,0.5
"28905",-0.5,"Native 3",9,"spillover2","tt","spillover2 tt",3,0,869,869,-0.5,-0.5
"28907",-0.5,"Native 3",4,"spillover2","tt","spillover2 tt",2,0,1338,1338,0.5,0.5
"28909",-0.5,"Native 3",3,"spillover2","tt","spillover2 tt",1,0,583,583,0.5,-0.5
"28911",-0.5,"Native 3",1,"spillover2","tt","spillover2 tt",3,0,848,848,-0.5,-0.5
"28913",-0.5,"Native 3",13,"spillover2","tt","spillover2 tt",3,0,535,535,-0.5,-0.5
"28915",-0.5,"Native 3",18,"spillover2","tt","spillover2 tt",4,0,376,376,-0.5,0.5
"28917",-0.5,"Native 3",7,"spillover2","tt","spillover2 tt",1,0,846,846,0.5,-0.5
"28919",-0.5,"Native 3",5,"spillover2","tt","spillover2 tt",3,0,829,829,-0.5,-0.5
"28921",-0.5,"Native 3",15,"spillover2","tt","spillover2 tt",1,0,518,518,0.5,-0.5
"28923",-0.5,"Native 3",16,"spillover2","tt","spillover2 tt",2,0,493,493,0.5,0.5
"28925",-0.5,"Native 3",8,"spillover2","tt","spillover2 tt",2,0,1268,1268,0.5,0.5
"28927",-0.5,"Native 3",22,"spillover2","tt","spillover2 tt",4,0,2234,2234,-0.5,0.5
"28929",-0.5,"Native 3",17,"spillover2","tt","spillover2 tt",3,0,473,473,-0.5,-0.5
"28931",-0.5,"Native 3",19,"spillover2","tt","spillover2 tt",1,0,532,532,0.5,-0.5
"28933",-0.5,"Native 3",23,"spillover2","tt","spillover2 tt",1,0,1301,1301,0.5,-0.5
"28935",-0.5,"Native 3",14,"spillover2","tt","spillover2 tt",4,0,1950,1950,-0.5,0.5
"28937",-0.5,"Native 3",24,"spillover2","tt","spillover2 tt",2,0,471,471,0.5,0.5
"28939",-0.5,"Native 3",10,"spillover2","tt","spillover2 tt",4,0,669,669,-0.5,0.5
"28941",-0.5,"Native 3",12,"spillover2","tt","spillover2 tt",2,0,1428,1428,0.5,0.5
"28943",-0.5,"Native 3",6,"spillover2","tt","spillover2 tt",4,0,1077,1077,-0.5,0.5
"28945",-0.5,"Native 4",21,"spillover2","tt","spillover2 tt",4,0,332,332,-0.5,0.5
"28947",-0.5,"Native 4",14,"spillover2","tt","spillover2 tt",1,0,307,307,0.5,-0.5
"28949",-0.5,"Native 4",22,"spillover2","tt","spillover2 tt",1,0,309,309,0.5,-0.5
"28951",-0.5,"Native 4",11,"spillover2","tt","spillover2 tt",2,0,281,281,0.5,0.5
"28953",-0.5,"Native 4",15,"spillover2","tt","spillover2 tt",2,0,152,152,0.5,0.5
"28955",-0.5,"Native 4",23,"spillover2","tt","spillover2 tt",2,0,287,287,0.5,0.5
"28957",-0.5,"Native 4",18,"spillover2","tt","spillover2 tt",1,0,497,497,0.5,-0.5
"28959",-0.5,"Native 4",6,"spillover2","tt","spillover2 tt",1,0,105,105,0.5,-0.5
