"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"15362",-0.5,"Native 1",24,"reflexive","rp","reflexive rp",4,1,0,NA,-0.5,0.5
"15364",-0.5,"Native 1",12,"reflexive","rp","reflexive rp",4,0,230,230,-0.5,0.5
"15366",-0.5,"Native 1",6,"reflexive","rp","reflexive rp",2,1,0,NA,0.5,0.5
"15368",-0.5,"Native 1",7,"reflexive","rp","reflexive rp",3,0,322,322,-0.5,-0.5
"15370",-0.5,"Native 1",14,"reflexive","rp","reflexive rp",2,0,636,636,0.5,0.5
"15372",-0.5,"Native 1",21,"reflexive","rp","reflexive rp",1,0,183,183,0.5,-0.5
"15374",-0.5,"Native 1",19,"reflexive","rp","reflexive rp",3,0,189,189,-0.5,-0.5
"15376",-0.5,"Native 1",17,"reflexive","rp","reflexive rp",1,0,297,297,0.5,-0.5
"15378",-0.5,"Native 1",10,"reflexive","rp","reflexive rp",2,0,218,218,0.5,0.5
"15380",-0.5,"Native 1",23,"reflexive","rp","reflexive rp",3,0,690,690,-0.5,-0.5
"15382",-0.5,"Native 1",15,"reflexive","rp","reflexive rp",3,1,0,NA,-0.5,-0.5
"15384",-0.5,"Native 1",1,"reflexive","rp","reflexive rp",1,0,317,317,0.5,-0.5
"15386",-0.5,"Native 1",2,"reflexive","rp","reflexive rp",2,0,196,196,0.5,0.5
"15388",-0.5,"Native 1",5,"reflexive","rp","reflexive rp",1,0,179,179,0.5,-0.5
"15390",-0.5,"Native 1",16,"reflexive","rp","reflexive rp",4,0,228,228,-0.5,0.5
"15392",-0.5,"Native 1",3,"reflexive","rp","reflexive rp",3,0,224,224,-0.5,-0.5
"15394",-0.5,"Native 1",13,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15396",-0.5,"Native 1",11,"reflexive","rp","reflexive rp",3,0,191,191,-0.5,-0.5
"15398",-0.5,"Native 1",9,"reflexive","rp","reflexive rp",1,1,0,NA,0.5,-0.5
"15400",-0.5,"Native 1",8,"reflexive","rp","reflexive rp",4,0,211,211,-0.5,0.5
"15402",-0.5,"Native 1",4,"reflexive","rp","reflexive rp",4,0,287,287,-0.5,0.5
"15404",-0.5,"Native 1",20,"reflexive","rp","reflexive rp",4,0,177,177,-0.5,0.5
