"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"3842",-0.5,"Native 1",24,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5
"3844",-0.5,"Native 1",12,"reflexive","fp","reflexive fp",4,0,230,230,-0.5,0.5
"3846",-0.5,"Native 1",6,"reflexive","fp","reflexive fp",2,1,0,NA,0.5,0.5
"3848",-0.5,"Native 1",7,"reflexive","fp","reflexive fp",3,0,185,185,-0.5,-0.5
"3850",-0.5,"Native 1",14,"reflexive","fp","reflexive fp",2,0,202,202,0.5,0.5
"3852",-0.5,"Native 1",21,"reflexive","fp","reflexive fp",1,0,183,183,0.5,-0.5
"3854",-0.5,"Native 1",19,"reflexive","fp","reflexive fp",3,0,189,189,-0.5,-0.5
"3856",-0.5,"Native 1",17,"reflexive","fp","reflexive fp",1,0,297,297,0.5,-0.5
"3858",-0.5,"Native 1",10,"reflexive","fp","reflexive fp",2,0,218,218,0.5,0.5
"3860",-0.5,"Native 1",23,"reflexive","fp","reflexive fp",3,0,268,268,-0.5,-0.5
"3862",-0.5,"Native 1",15,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5
"3864",-0.5,"Native 1",1,"reflexive","fp","reflexive fp",1,0,317,317,0.5,-0.5
"3866",-0.5,"Native 1",2,"reflexive","fp","reflexive fp",2,0,196,196,0.5,0.5
"3868",-0.5,"Native 1",5,"reflexive","fp","reflexive fp",1,0,179,179,0.5,-0.5
"3870",-0.5,"Native 1",16,"reflexive","fp","reflexive fp",4,0,228,228,-0.5,0.5
"3872",-0.5,"Native 1",3,"reflexive","fp","reflexive fp",3,0,224,224,-0.5,-0.5
"3874",-0.5,"Native 1",13,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5
"3876",-0.5,"Native 1",11,"reflexive","fp","reflexive fp",3,0,191,191,-0.5,-0.5
"3878",-0.5,"Native 1",9,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5
"3880",-0.5,"Native 1",8,"reflexive","fp","reflexive fp",4,0,211,211,-0.5,0.5
"3882",-0.5,"Native 1",4,"reflexive","fp","reflexive fp",4,0,287,287,-0.5,0.5
"3884",-0.5,"Native 1",20,"reflexive","fp","reflexive fp",4,0,177,177,-0.5,0.5
"3886",-0.5,"Native 1",18,"reflexive","fp","reflexive fp",2,0,318,318,0.5,0.5
"3888",-0.5,"Native 1",22,"reflexive","fp","reflexive fp",2,0,285,285,0.5,0.5
"3890",-0.5,"Native 2",14,"reflexive","fp","reflexive fp",3,0,250,250,-0.5,-0.5
"3892",-0.5,"Native 2",4,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5
"3894",-0.5,"Native 2",19,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5
"3896",-0.5,"Native 2",1,"reflexive","fp","reflexive fp",2,0,263,263,0.5,0.5
"3898",-0.5,"Native 2",5,"reflexive","fp","reflexive fp",2,1,0,NA,0.5,0.5
"3900",-0.5,"Native 2",15,"reflexive","fp","reflexive fp",4,0,289,289,-0.5,0.5
"3902",-0.5,"Native 2",7,"reflexive","fp","reflexive fp",4,0,243,243,-0.5,0.5
"3904",-0.5,"Native 2",18,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5
"3906",-0.5,"Native 2",6,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5
"3908",-0.5,"Native 2",22,"reflexive","fp","reflexive fp",3,0,220,220,-0.5,-0.5
"3910",-0.5,"Native 2",10,"reflexive","fp","reflexive fp",3,0,194,194,-0.5,-0.5
"3912",-0.5,"Native 2",8,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5
"3914",-0.5,"Native 2",24,"reflexive","fp","reflexive fp",1,0,172,172,0.5,-0.5
"3916",-0.5,"Native 2",17,"reflexive","fp","reflexive fp",2,0,166,166,0.5,0.5
"3918",-0.5,"Native 2",2,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5
"3920",-0.5,"Native 2",11,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5
"3922",-0.5,"Native 2",3,"reflexive","fp","reflexive fp",4,0,231,231,-0.5,0.5
"3924",-0.5,"Native 2",21,"reflexive","fp","reflexive fp",2,0,138,138,0.5,0.5
"3926",-0.5,"Native 2",20,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5
"3928",-0.5,"Native 2",16,"reflexive","fp","reflexive fp",1,0,188,188,0.5,-0.5
"3930",-0.5,"Native 2",13,"reflexive","fp","reflexive fp",2,0,181,181,0.5,0.5
"3932",-0.5,"Native 2",9,"reflexive","fp","reflexive fp",2,1,0,NA,0.5,0.5
"3934",-0.5,"Native 2",12,"reflexive","fp","reflexive fp",1,1,0,NA,0.5,-0.5
"3936",-0.5,"Native 2",23,"reflexive","fp","reflexive fp",4,0,294,294,-0.5,0.5
"3937",-0.5,"Native 3",11,"reflexive","fp","reflexive fp",1,0,244,244,0.5,-0.5
"3939",-0.5,"Native 3",21,"reflexive","fp","reflexive fp",3,0,322,322,-0.5,-0.5
"3941",-0.5,"Native 3",2,"reflexive","fp","reflexive fp",4,0,153,153,-0.5,0.5
"3943",-0.5,"Native 3",20,"reflexive","fp","reflexive fp",2,0,238,238,0.5,0.5
"3945",-0.5,"Native 3",9,"reflexive","fp","reflexive fp",3,0,218,218,-0.5,-0.5
"3947",-0.5,"Native 3",4,"reflexive","fp","reflexive fp",2,0,317,317,0.5,0.5
"3949",-0.5,"Native 3",3,"reflexive","fp","reflexive fp",1,0,321,321,0.5,-0.5
"3951",-0.5,"Native 3",1,"reflexive","fp","reflexive fp",3,1,0,NA,-0.5,-0.5
"3953",-0.5,"Native 3",13,"reflexive","fp","reflexive fp",3,0,237,237,-0.5,-0.5
"3955",-0.5,"Native 3",18,"reflexive","fp","reflexive fp",4,0,376,376,-0.5,0.5
"3957",-0.5,"Native 3",7,"reflexive","fp","reflexive fp",1,0,146,146,0.5,-0.5
"3959",-0.5,"Native 3",5,"reflexive","fp","reflexive fp",3,0,303,303,-0.5,-0.5
"3961",-0.5,"Native 3",15,"reflexive","fp","reflexive fp",1,0,154,154,0.5,-0.5
"3963",-0.5,"Native 3",16,"reflexive","fp","reflexive fp",2,0,328,328,0.5,0.5
"3965",-0.5,"Native 3",8,"reflexive","fp","reflexive fp",2,0,244,244,0.5,0.5
"3967",-0.5,"Native 3",22,"reflexive","fp","reflexive fp",4,0,142,142,-0.5,0.5
"3969",-0.5,"Native 3",17,"reflexive","fp","reflexive fp",3,0,331,331,-0.5,-0.5
"3971",-0.5,"Native 3",19,"reflexive","fp","reflexive fp",1,0,214,214,0.5,-0.5
"3973",-0.5,"Native 3",23,"reflexive","fp","reflexive fp",1,0,263,263,0.5,-0.5
"3975",-0.5,"Native 3",14,"reflexive","fp","reflexive fp",4,0,666,666,-0.5,0.5
"3977",-0.5,"Native 3",24,"reflexive","fp","reflexive fp",2,0,293,293,0.5,0.5
"3979",-0.5,"Native 3",10,"reflexive","fp","reflexive fp",4,0,212,212,-0.5,0.5
"3981",-0.5,"Native 3",12,"reflexive","fp","reflexive fp",2,0,292,292,0.5,0.5
"3983",-0.5,"Native 3",6,"reflexive","fp","reflexive fp",4,0,328,328,-0.5,0.5
"3985",-0.5,"Native 4",21,"reflexive","fp","reflexive fp",4,0,316,316,-0.5,0.5
"3987",-0.5,"Native 4",14,"reflexive","fp","reflexive fp",1,0,225,225,0.5,-0.5
"3989",-0.5,"Native 4",22,"reflexive","fp","reflexive fp",1,0,162,162,0.5,-0.5
"3991",-0.5,"Native 4",11,"reflexive","fp","reflexive fp",2,0,313,313,0.5,0.5
"3993",-0.5,"Native 4",15,"reflexive","fp","reflexive fp",2,0,162,162,0.5,0.5
"3995",-0.5,"Native 4",23,"reflexive","fp","reflexive fp",2,0,158,158,0.5,0.5
"3997",-0.5,"Native 4",18,"reflexive","fp","reflexive fp",1,0,110,110,0.5,-0.5
"3999",-0.5,"Native 4",6,"reflexive","fp","reflexive fp",1,0,202,202,0.5,-0.5
"4001",-0.5,"Native 4",10,"reflexive","fp","reflexive fp",1,0,125,125,0.5,-0.5
"4003",-0.5,"Native 4",12,"reflexive","fp","reflexive fp",3,0,158,158,-0.5,-0.5
"4005",-0.5,"Native 4",19,"reflexive","fp","reflexive fp",2,0,134,134,0.5,0.5
"4007",-0.5,"Native 4",1,"reflexive","fp","reflexive fp",4,0,161,161,-0.5,0.5
"4009",-0.5,"Native 4",20,"reflexive","fp","reflexive fp",3,0,145,145,-0.5,-0.5
"4011",-0.5,"Native 4",16,"reflexive","fp","reflexive fp",3,0,186,186,-0.5,-0.5
"4013",-0.5,"Native 4",2,"reflexive","fp","reflexive fp",1,0,96,96,0.5,-0.5
"4015",-0.5,"Native 4",5,"reflexive","fp","reflexive fp",4,0,145,145,-0.5,0.5
"4017",-0.5,"Native 4",17,"reflexive","fp","reflexive fp",4,0,222,222,-0.5,0.5
"4019",-0.5,"Native 4",24,"reflexive","fp","reflexive fp",3,0,189,189,-0.5,-0.5
"4021",-0.5,"Native 4",13,"reflexive","fp","reflexive fp",4,1,0,NA,-0.5,0.5
"4023",-0.5,"Native 4",8,"reflexive","fp","reflexive fp",3,0,156,156,-0.5,-0.5
"4025",-0.5,"Native 4",9,"reflexive","fp","reflexive fp",4,0,123,123,-0.5,0.5
"4027",-0.5,"Native 4",7,"reflexive","fp","reflexive fp",2,0,82,82,0.5,0.5
"4029",-0.5,"Native 4",4,"reflexive","fp","reflexive fp",3,0,129,129,-0.5,-0.5
"4031",-0.5,"Native 4",3,"reflexive","fp","reflexive fp",2,0,170,170,0.5,0.5
"4034",-0.5,"Native 5",8,"reflexive","fp","reflexive fp",4,0,202,202,-0.5,0.5
